university,full_name,state,SD,region,uni_size,uni_type,dept,ugrad_w.m.r,grad_w.m.r,instructor_w.m.r,tt_faculty_w.m.r
USD,University of South Dakota,South Dakota,y,MW,10000,R2,biology,0.64,0.74,0.75,0.15
USD,University of South Dakota,South Dakota,y,MW,10000,R2,chemistry,0.61,0.3,0,0.09
USD,University of South Dakota,South Dakota,y,MW,10000,R2,math,0.57,0.55,0.67,0.14
USD,University of South Dakota,South Dakota,y,MW,10000,R2,physics,0.44,0.17,0,0
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,biology,0.58,0.53,0.67,0.2
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,chemistry,0.57,0.23,1,0.18
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,math,0.54,0.17,0.62,0.16
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,physics,0,NA,0.5,1
NSU,Northern State University,South Dakota,y,MW,3500,PUI,biology,0.52,NA,0.5,0.4
NSU,Northern State University,South Dakota,y,MW,3500,PUI,chemistry,0.5,NA,NA,0.25
BHSU,Black Hills State University,South Dakota,y,MW,3400,PUI,natural sciences,,NA,1,0.31
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,chem bio,,NA,0.71,0.22
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,math,,NA,0.33,0.27
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,physics,0.17,0,0,0
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,engineering,0.22,0.2,0.21,0.11
USF,University of South Florida,Florida,n,SO,40000,R1,biology,0.62,0.59,0.39,0.27
USF,University of South Florida,Florida,n,SO,40000,R1,chemistry,0.54,0.7,0.57,0.08
USF,University of South Florida,Florida,n,SO,40000,R1,math,0.35,0.69,0.29,0.1
USF,University of South Florida,Florida,n,SO,40000,R1,physics,0.15,0.33,0.2,0.12
UNO,Univeristy of New Orelans,Louisiana,n,SO,7000,R2,biology,0.73,0.29,NA,0.36
UNO,Univeristy of New Orelans,Louisiana,n,SO,7000,R2,chemistry,0.6,0.53,NA,0.17
