university,university full,state,SD,region,uni_size,uni_type,department,position,gender,number
USD,University of South Dakota,South Dakota,y,MW,10000,R2,biology,instructor,female,3
USD,University of South Dakota,South Dakota,y,MW,10000,R2,biology,instructor,male,1
USD,University of South Dakota,South Dakota,y,MW,10000,R2,biology,tt,female,2
USD,University of South Dakota,South Dakota,y,MW,10000,R2,biology,tt,male,11
USD,University of South Dakota,South Dakota,y,MW,10000,R2,chemistry,instructor,female,0
USD,University of South Dakota,South Dakota,y,MW,10000,R2,chemistry,instructor,male,1
USD,University of South Dakota,South Dakota,y,MW,10000,R2,chemistry,tt,female,1
USD,University of South Dakota,South Dakota,y,MW,10000,R2,chemistry,tt,male,10
USD,University of South Dakota,South Dakota,y,MW,10000,R2,math,instructor,female,7
USD,University of South Dakota,South Dakota,y,MW,10000,R2,math,instructor,male,3
USD,University of South Dakota,South Dakota,y,MW,10000,R2,math,tt,female,1
USD,University of South Dakota,South Dakota,y,MW,10000,R2,math,tt,male,6
USD,University of South Dakota,South Dakota,y,MW,10000,R2,physics,instructor,female,0
USD,University of South Dakota,South Dakota,y,MW,10000,R2,physics,instructor,male,1
USD,University of South Dakota,South Dakota,y,MW,10000,R2,physics,tt,female,0
USD,University of South Dakota,South Dakota,y,MW,10000,R2,physics,tt,male,5
USD,University of South Dakota,South Dakota,y,MW,10000,R2,comp_sci,instructor,female,0
USD,University of South Dakota,South Dakota,y,MW,10000,R2,comp_sci,instructor,male,1
USD,University of South Dakota,South Dakota,y,MW,10000,R2,comp_sci,tt,female,1
USD,University of South Dakota,South Dakota,y,MW,10000,R2,comp_sci,tt,male,3
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,biology,instructor,female,6
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,biology,instructor,male,3
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,biology,tt,female,4
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,biology,tt,male,16
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,chemistry,instructor,female,4
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,chemistry,instructor,male,0
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,chemistry,tt,female,1
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,chemistry,tt,male,9
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,math,instructor,female,8
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,math,instructor,male,5
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,math,tt,female,4
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,math,tt,male,14
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,physics,instructor,female,1
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,physics,instructor,male,1
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,physics,tt,female,0
SDSU,South Dakota State University,South Dakota,y,MW,11000,R2,physics,tt,male,5
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,math,instructor,female,2
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,math,instructor,male,5
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,math,tt,female,3
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,math,tt,male,8
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,physics,instructor,female,0
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,physics,instructor,male,1
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,physics,tt,female,0
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,physics,tt,male,11
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,engineering,instructor,female,7
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,engineering,instructor,male,33
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,engineering,instructor,unknown,1
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,engineering,tt,female,11
MINES,South Dakota School of Mines,South Dakota,y,MW,2100,PUI,engineering,tt,male,71
